역명,상세주소
석계,서울특별시 노원구 월계동 25-2 석계역
태릉입구,"서울특별시 노원구 공릉동 616-4 태릉입구역(6, 7호선)"
화랑대(서울여대입구),서울특별시 노원구 공릉동 285-2 화랑대역
봉화산(서울의료원),서울특별시 중랑구 신내동 643-1 봉화산역
장암,경기도 의정부시 장암동 160-8 장암역
도봉산,서울특별시 도봉구 도봉동 38-3 도봉산역
수락산,서울특별시 노원구 상계동 1132-9 수락산역
마들,서울특별시 노원구 상계동 650 마들역
중계,서울특별시 노원구 중계동 503-3 중계역
하계,서울특별시 노원구 하계동 273-5 하계역
공릉(서울과학기술대),서울특별시 노원구 공릉동 385-4 공릉역
먹골,서울특별시 중랑구 묵동 189-5 먹골역
중화,서울특별시 중랑구 중화동 50-3 중화역
상봉(시외버스터미널),서울특별시 중랑구 상봉동 160-7 상봉역
면목,서울특별시 중랑구 면목동 282-6 면목역
사가정,서울특별시 중랑구 면목동 495 사가정역
용마산,서울특별시 중랑구 면목동 1382-13 용마산역
중곡,서울특별시 광진구 중곡동 273-2 중곡역
어린이대공원(세종대),서울특별시 광진구 화양동 164-1 어린이대공원역
뚝섬유원지,서울특별시 광진구 자양동 73-2 뚝섬유원지역
청담,서울특별시 강남구 청담동 77-76 청담역
강남구청,서울특별시 강남구 삼성동 111-44 강남구청역
학동,서울특별시 강남구 논현동 279-67 학동역
논현,서울특별시 강남구 논현동 280 논현역
반포,서울특별시 서초구 잠원동 103 반포역
내방,서울특별시 서초구 방배동 874-16 내방역
이수,서울특별시 동작구 사당동 144-4 이수역
남성,서울특별시 동작구 사당동 산 25-33 남성역
숭실대입구(살피재),서울특별시 동작구 상도동 514 숭실대입구역
상도,서울특별시 동작구 상도1동 702-1 상도역
장승배기,서울특별시 동작구 상도동 26-20 장승배기역
신대방삼거리,서울특별시 동작구 대방동 406-10 신대방삼거리역
보라매,서울특별시 동작구 대방동 466-51 보라매역
신풍,서울특별시 영등포구 신길동 3599 신풍역
남구로,서울특별시 구로구 구로동 801-95 남구로역
가산디지털단지,서울특별시 금천구 가산동 54-3 가산디지털단지역
철산,경기도 광명시 철산동 526 철산역
광명사거리,경기도 광명시 광명동 158-211 광명사거리역
천왕,서울특별시 구로구 오류동 174-6 천왕역
온수(성공회대입구),서울특별시 구로구 온수동 53-1 온수역(7호선)
까치울,경기도 부천시 원미구 춘의동 3-1 까치울역
부천종합운동장,경기도 부천시 원미구 춘의동 15-1 부천종합운동장역
